cod_mpio,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps
15723,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15740,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
15753,17,16,17,3,1,16,Fecha corte REPS: Mar 12 2026  3:11PM
15755,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15757,6,6,6,1,1,5,Fecha corte REPS: Mar 12 2026  3:11PM
15759,309,295,309,71,6,303,Fecha corte REPS: Mar 12 2026  3:11PM
15761,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15762,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15763,2,1,2,2,2,0,Fecha corte REPS: Mar 12 2026  3:11PM
15764,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15774,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15776,5,5,5,1,1,4,Fecha corte REPS: Mar 12 2026  3:11PM
15778,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15790,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15798,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15804,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
15806,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
15808,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15810,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15814,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
15816,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15820,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
